Event type;Event subtype;Expected message;Received message;Sent from;Got from;Passed
Config;all;Config, all 868759037198787;Config, all 868759037198787;+37060789118;+37060789118;True
Config;openvpn;Config, openvpn;;+37060789118;;False
Config;events_reporting;Config, events_reporting;Config, events_reporting;+37060789118;+37060789118;True
Config;periodic_reboot;Config, periodic_reboot;;+37060789118;;False
Config;ping_reboot;Config, ping_reboot;Config, ping_reboot;+37060789118;+37060789118;True
Config;ipsec;Config, ipsec;Config, ipsec;+37060789118;+37060789118;True
Config;dhcp;Config, dhcp;Config, dhcp;+37060789118;+37060789118;True
Config;dropbear;Config, dropbear;Config, dropbear;+37060789118;+37060789118;True
Config;network;Config, network;Config, network;+37060789118;+37060789118;True
Config;firewall;Config, firewall;Config, firewall;+37060789118;+37060789118;True
Config;ddns;Config, ddns;;+37060789118;;False
Config;snmpd;Config, snmpd;;+37060789118;;False
Config;sqm;Config, sqm;Config, sqm;+37060789118;+37060789118;True
Config;ulogd;Config, ulogd;Config, ulogd;+37060789118;+37060789118;True
Config;modbus_data_sender;Config, modbus_data_sender 868759037198787;Config, modbus_data_sender 868759037198787;+37060789118;+37060789118;True
Config;mosquitto;Config, mosquitto;Config, mosquitto;+37060789118;+37060789118;True
Config;mqtt_pub;Config, mqtt_pub;Config, mqtt_pub;+37060789118;+37060789118;True
Config;chilli;Config, chilli (hotspot)868759037198787;Config, chilli (hotspot)868759037198787;+37060789118;+37060789118;True
Config;samba;Config, samba (network shares);;+37060789118;;False
Config;etherwake;Config, etherwake (Wake on Lan);;+37060789118;;False
Config;sms_utils;Config, sms;Config, sms;+37060789118;+37060789118;True
Config;simcard;Config, simcard;Config, simcard;+37060789118;+37060789118;True
Config;quota_limit;Config, quota_limit;;+37060789118;;False
